exp,smape,duration
352_hpc-single-s10-b1-h1-ps-pcl03-pch5-pm1-pd0-ps1, 5.276%, 223
353_hpc-single-s10-b1-h1-ps-pcl05-pch5-pm1-pd0-ps1, 5.628%, 322
354_hpc-single-s10-b1-h1-ps-pcl07-pch5-pm1-pd0-ps1, 6.082%, 738
355_uninet-single-s10-b1-h1-ps-pcl03-pch5-pm1-pd0-ps1, 0.183%, 285
356_uninet-single-s10-b1-h1-ps-pcl05-pch5-pm1-pd0-ps1, 0.274%, 727
357_uninet-single-s10-b1-h1-ps-pcl07-pch5-pm1-pd0-ps1, 0.655%, 3755
358_hpc-single-s10-b1-h1-ps-pcl03-pch10-pm1-pd0-ps1, 5.754%, 173
359_hpc-single-s10-b1-h1-ps-pcl05-pch10-pm1-pd0-ps1, 5.572%, 254
360_hpc-single-s10-b1-h1-ps-pcl07-pch10-pm1-pd0-ps1, 6.114%, 901
361_uninet-single-s10-b1-h1-ps-pcl03-pch10-pm1-pd0-ps1, 0.175%, 257
362_uninet-single-s10-b1-h1-ps-pcl05-pch10-pm1-pd0-ps1, 0.274%, 662
363_uninet-single-s10-b1-h1-ps-pcl07-pch10-pm1-pd0-ps1, 0.736%, 4966
364_hpc-single-s10-b1-h1-ps-pcl03-pch50-pm1-pd0-ps1, 5.372%, 172
365_hpc-single-s10-b1-h1-ps-pcl05-pch50-pm1-pd0-ps1, 5.489%, 244
366_hpc-single-s10-b1-h1-ps-pcl07-pch50-pm1-pd0-ps1, 5.812%, 1561
367_uninet-single-s10-b1-h1-ps-pcl03-pch50-pm1-pd0-ps1, 0.167%, 248
368_uninet-single-s10-b1-h1-ps-pcl05-pch50-pm1-pd0-ps1, 0.220%, 720
369_uninet-single-s10-b1-h1-ps-pcl07-pch50-pm1-pd0-ps1, 0.539%, 8052
370_hpc-single-s10-b1-h1-ps-pcl03-pch100-pm1-pd0-ps1, 5.453%, 171
371_hpc-single-s10-b1-h1-ps-pcl05-pch100-pm1-pd0-ps1, 5.349%, 229
372_hpc-single-s10-b1-h1-ps-pcl07-pch100-pm1-pd0-ps1, 5.661%, 2428
373_uninet-single-s10-b1-h1-ps-pcl03-pch100-pm1-pd0-ps1, 0.170%, 247
374_uninet-single-s10-b1-h1-ps-pcl05-pch100-pm1-pd0-ps1, 0.194%, 1320
